name,comment,timestamp,language,context,length,sentiment,aggregate
1,1,1066,ENG,youtube,46,72,positive
2,2,1065,SPA,youtube,104,0,neutral
3,3,1065,ENG,youtube,112,0,neutral
4,4,1064,ENG,youtube,87,0,neutral
5,5,1064,ENG,youtube,97,63,positive
6,6,1063,ENG,youtube,97,-4,neutral
7,7,1063,ENG,youtube,57,0,neutral
8,8,1063,ENG,youtube,28,0,neutral
9,9,1062,SPA,youtube,117,-21,negative
10,10,1062,ENG,youtube,50,0,neutral
11,11,1061,ENG,youtube,58,96,positive
12,12,1061,ENG,youtube,173,70,positive
13,13,1060,ENG,youtube,48,80,positive
14,14,1058,ENG,youtube,42,0,neutral
15,15,1057,ENG,youtube,33,0,neutral
16,16,1057,ENG,youtube,31,0,neutral
17,17,1057,ENG,youtube,42,87,positive
18,18,1057,ENG,youtube,57,0,neutral
19,19,1057,ENG,youtube,40,0,neutral
20,20,1056,ENG,youtube,63,0,neutral
21,21,1056,SPA,youtube,189,72,positive
22,22,1056,ENG,youtube,198,0,neutral
23,23,1056,ENG,youtube,61,42,positive
24,24,1056,ENG,youtube,93,0,neutral
25,25,1055,ENG,youtube,63,0,neutral
26,26,1055,ENG,youtube,129,0,neutral
27,27,1055,ENG,youtube,57,0,neutral
28,28,1055,ENG,youtube,57,0,neutral
29,29,1054,ENG,youtube,379,66,positive
30,30,1053,ENG,youtube,57,0,neutral
31,31,1053,ENG,youtube,126,-70,negative
32,32,1052,ENG,youtube,60,-95,negative
33,33,1051,ENG,youtube,29,0,neutral
34,34,1050,ENG,youtube,146,-26,negative
35,35,1050,ENG,youtube,33,9,neutral
36,36,1049,ENG,youtube,57,0,neutral
37,37,1049,ENG,youtube,91,53,positive
38,38,1049,ENG,youtube,131,11,positive
39,39,1049,ENG,youtube,36,72,positive
40,40,1049,ENG,youtube,36,72,positive
41,41,1049,ENG,youtube,57,0,neutral
42,42,1048,ENG,youtube,47,0,neutral
43,43,1048,ENG,youtube,29,0,neutral
44,44,1048,ENG,youtube,72,76,positive
45,45,1047,SPA,youtube,189,72,positive
46,46,1046,ENG,youtube,175,61,positive
47,47,1045,ENG,youtube,40,0,neutral
48,48,1045,ENG,youtube,35,0,neutral
49,49,1045,TUR,youtube,56,0,neutral
50,50,1045,ENG,youtube,28,0,neutral
51,51,1045,ENG,youtube,57,0,neutral
52,52,1043,CHI,youtube,9,-63,negative
53,53,1042,ENG,youtube,60,87,positive
54,54,1042,ENG,youtube,28,91,positive
55,55,1040,ENG,youtube,76,89,positive
56,56,1040,ITA,youtube,65,0,neutral
57,57,1040,ENG,youtube,53,0,neutral
58,58,1040,ENG,youtube,118,-32,negative
59,59,1038,ENG,youtube,116,53,positive
60,60,1038,ENG,youtube,41,0,neutral
61,61,1038,POR,youtube,61,-76,negative
62,62,1038,ENG,youtube,57,0,neutral
63,63,1038,ENG,youtube,133,16,positive
64,64,1037,SPA,youtube,50,63,positive
65,65,1037,ENG,youtube,30,86,positive
66,66,1037,ENG,youtube,44,0,neutral
67,67,1036,ENG,youtube,32,81,positive
68,68,1036,ENG,youtube,40,0,neutral
69,69,1034,ENG,youtube,57,0,neutral
70,70,1034,ENG,youtube,363,82,positive
71,71,1034,ENG,youtube,57,0,neutral
72,72,1033,ENG,youtube,128,65,positive
73,73,1033,ENG,youtube,74,0,neutral
74,74,1032,ENG,youtube,115,-26,negative
75,75,1029,ENG,youtube,62,76,positive
76,76,1029,ENG,youtube,36,81,positive
77,77,1028,ENG,youtube,91,67,positive
78,78,1028,SPA,youtube,286,93,positive
79,79,1028,ENG,youtube,160,61,positive
80,80,1027,ENG,youtube,154,56,positive
81,81,1027,ENG,youtube,63,0,neutral
82,82,1027,ENG,youtube,35,86,positive
83,83,1027,ITA,youtube,469,70,positive
84,84,1026,ENG,youtube,28,0,neutral
85,85,1026,ENG,youtube,39,0,neutral
86,86,1026,ITA,youtube,469,70,positive
87,87,1024,ENG,youtube,56,-52,negative
88,88,1024,ENG,youtube,78,15,positive
89,89,1024,ENG,youtube,60,0,neutral
90,90,1024,ENG,youtube,168,-65,negative
91,91,1024,ENG,youtube,30,76,positive
92,92,1023,ENG,youtube,39,79,positive
93,93,1023,ENG,youtube,86,0,neutral
94,94,1023,ENG,youtube,57,0,neutral
95,95,1022,SPA,youtube,88,0,neutral
96,96,1021,ENG,youtube,67,71,positive
97,97,1020,ENG,youtube,1553,-41,negative
98,98,1019,ENG,youtube,60,0,neutral
99,99,1018,ENG,youtube,58,0,neutral
100,100,1018,ENG,youtube,47,88,positive
101,101,1016,ENG,youtube,63,-39,negative
102,102,1016,ENG,youtube,103,0,neutral
103,103,1015,ENG,youtube,55,-62,negative
104,104,1015,ENG,youtube,65,-71,negative
105,105,1013,ENG,youtube,57,0,neutral
106,106,1013,ENG,youtube,35,0,neutral
107,107,1013,ENG,youtube,58,72,positive
108,108,1013,ENG,youtube,100,0,neutral
109,109,1012,ENG,youtube,47,0,neutral
110,110,1012,ENG,youtube,47,0,neutral
111,111,1011,ENG,youtube,57,0,neutral
112,112,1011,ENG,youtube,48,81,positive
113,113,1011,ENG,youtube,57,0,neutral
114,114,1010,ENG,youtube,102,54,positive
115,115,1009,ENG,youtube,30,0,neutral
116,116,1009,ENG,youtube,36,0,neutral
117,117,1009,ENG,youtube,226,6,neutral
118,118,1008,ENG,youtube,83,54,positive
119,119,1007,SPA,youtube,42,0,neutral
120,120,1007,SPA,youtube,128,0,neutral
121,121,1006,ENG,youtube,175,-72,negative
122,122,1005,ENG,youtube,70,-30,negative
123,123,1004,POR,youtube,48,78,positive
124,124,1004,SPA,youtube,41,82,positive
125,125,1003,ENG,youtube,87,-63,negative
126,126,1003,ENG,youtube,171,-72,negative
127,127,1003,SPA,youtube,37,89,positive
128,128,1002,ENG,youtube,57,78,positive
129,129,1001,SPA,youtube,137,0,neutral
130,130,1001,SPA,youtube,137,0,neutral
131,131,1001,ENG,youtube,98,53,positive
132,132,1001,ENG,youtube,140,-36,negative
133,133,1001,ENG,youtube,53,20,positive
134,134,1000,ENG,youtube,63,0,neutral
135,135,999,ENG,youtube,121,63,positive
136,136,998,ENG,youtube,56,-16,negative
137,137,998,ENG,youtube,28,0,neutral
138,138,998,SPA,youtube,65,0,neutral
139,139,997,SPA,youtube,176,81,positive
140,140,996,ENG,youtube,57,0,neutral
141,141,996,ENG,youtube,53,0,neutral
142,142,996,ENG,youtube,101,-6,neutral
143,143,996,ENG,youtube,47,0,neutral
144,144,995,ENG,youtube,98,65,positive
145,145,995,ENG,youtube,37,12,positive
146,146,995,ENG,youtube,28,0,neutral
147,147,994,ENG,youtube,38,0,neutral
148,148,994,ENG,youtube,28,0,neutral
149,149,994,ENG,youtube,34,0,neutral
150,150,993,TUR,youtube,1845,-7,neutral
151,151,993,ENG,youtube,102,0,neutral
